family,subfamily,embedding,regressor,variant,median_rrmse
augmented,full,e5_base,chain_ERCcv_lr,method=gemma; pct=20,0.6676065921783447
augmented,full,e5_base,chain_ERCcv_lr,method=gemma; pct=50,0.6737381219863892
augmented,full,e5_base,chain_ERCcv_lr,method=gemma; pct=10,0.6737879514694214
augmented,full,e5_base,local_lasso,method=gemma; pct=50,0.6777620911598206
augmented,full,e5_base,local_lasso,method=gemma; pct=100,0.6787651181221008
frozen,sentence,e5_base,chain_ERCcv_lr,—,0.6815699714287151
frozen,sentence,e5_large,local_lasso,—,0.6819935526556229
augmented,full,e5_base,chain_ERCcv_lr,method=gemma; pct=100,0.6846904754638672
augmented,full,e5_base,chain_ERCcv_lr,method=gemma; pct=200,0.6846904754638672
augmented,full,e5_base,chain_ERCcv_lr,method=gemma; pct=400,0.6846904754638672
augmented,full,e5_base,local_lasso,method=gemma; pct=200,0.6852312088012695
augmented,full,e5_base,local_lasso,method=gemma; pct=20,0.6882121562957764
augmented,baseline,e5_base,chain_ERCcv_lr,method=gemma; pct=10,0.6892235279083252
augmented,baseline,e5_base,chain_ERCcv_lr,method=gemma; pct=20,0.6892235279083252
augmented,baseline,e5_base,chain_ERCcv_lr,method=gemma; pct=200,0.6892235279083252
augmented,baseline,e5_base,chain_ERCcv_lr,method=gemma; pct=50,0.6892235279083252
augmented,baseline,e5_base,chain_ERCcv_lr,method=gemma; pct=100,0.6892235279083252
augmented,baseline,e5_base,chain_ERCcv_lr,method=gemma; pct=400,0.6892235279083252
augmented,full,e5_base,local_lasso,method=gemma; pct=10,0.6903446912765503
frozen,sentence,e5_large,chain_ERCcv_lr,—,0.6957585191292126
augmented,full,e5_base,local_lasso,method=gemma; pct=400,0.6980307102203369
augmented,baseline,e5_base,local_lasso,method=gemma; pct=400,0.7046522498130798
augmented,baseline,e5_base,local_lasso,method=gemma; pct=100,0.7046522498130798
augmented,baseline,e5_base,local_lasso,method=gemma; pct=10,0.7046522498130798
augmented,baseline,e5_base,local_lasso,method=gemma; pct=20,0.7046522498130798
augmented,baseline,e5_base,local_lasso,method=gemma; pct=50,0.7046522498130798
augmented,baseline,e5_base,local_lasso,method=gemma; pct=200,0.7046522498130798
frozen,sentence,e5_base,local_lasso,—,0.7046550520754471
frozen,sentence,simcse_xlmr_base,chain_ERCcv_lr,—,0.7354910183540948
frozen,sentence,sbert_bert,local_lasso,—,0.7359021790796512
frozen,sentence,sbert_roberta,local_lasso,—,0.7408946282373099
frozen,sentence,sbert_bert,chain_ERCcv_lr,—,0.740976691659745
frozen,sentence,simcse_xlmr_base,local_lasso,—,0.7443459975917083
frozen,token-mean,robbert2023,local_lasso,—,0.7527659508715315
frozen,sentence,sbert_roberta,chain_ERCcv_lr,—,0.7562076892106837
frozen,sentence,labse,chain_ERCcv_lr,—,0.7580231656892906
frozen,token-mean,robbert2023,chain_ERCcv_lr,—,0.763903497092749
frozen,sentence,labse,local_lasso,—,0.7663618972113972
augmented,full,e5_base,chain_ERCcv_rf,method=gemma; pct=400,0.7718108296394348
augmented,full,e5_base,chain_ERCcv_rf,method=gemma; pct=20,0.7783243656158447
augmented,full,e5_base,local_rf,method=gemma; pct=400,0.779708981513977
frozen,sentence,sbert_bert,chain_ERCcv_rf,—,0.7833444452561392
frozen,sentence,simcse_xlmr_base,chain_ERCcv_rf,—,0.784000285615255
augmented,full,e5_base,chain_ERCcv_rf,method=gemma; pct=200,0.7876052856445312
augmented,full,e5_base,chain_ERCcv_rf,method=gemma; pct=100,0.79018235206604
augmented,full,e5_base,chain_ERCcv_rf,method=gemma; pct=50,0.7916959524154663
augmented,full,e5_base,local_rf,method=gemma; pct=20,0.7920408248901367
frozen,token-mean,rembert,local_lasso,—,0.794209751807285
frozen,sentence,e5_large,chain_ERCcv_rf,—,0.7973566997907899
frozen,sentence,simcse_xlmr_base,local_rf,—,0.7980482441809427
augmented,full,e5_base,chain_ERCcv_rf,method=gemma; pct=10,0.7982895374298096
frozen,token-max,robbert2023,local_lasso,—,0.8031268313381978
frozen,token-mean,bert,local_lasso,—,0.8055548625825076
frozen,sentence,sbert_bert,local_rf,—,0.8078873362277804
augmented,full,e5_base,local_rf,method=gemma; pct=50,0.8105295896530151
frozen,sentence,sbert_bert,global_rf,—,0.81223421077362
frozen,token-mean,rembert,chain_ERCcv_lr,—,0.8127351612421809
frozen,token-max,bert,local_lasso,—,0.8130099102719834
static,fasttext,fasttext,chain_ERCcv_lr,—,0.8131081318517492
static,fasttext,fasttext,local_lasso,—,0.8138720230247248
static,fasttext,fasttext,local_lr,—,0.8151430135922247
frozen,token-mean,bert,chain_ERCcv_lr,—,0.8157120453072193
augmented,full,e5_base,local_rf,method=gemma; pct=200,0.8163104057312012
frozen,sentence,sbert_roberta,chain_ERCcv_rf,—,0.8172705933582293
frozen,token-max,robbert2023,chain_ERCcv_lr,—,0.8188192388585787
augmented,full,e5_base,local_rf,method=gemma; pct=100,0.8234749436378479
augmented,full,e5_base,global_rf,method=gemma; pct=400,0.8244231343269348
augmented,full,e5_base,global_rf,method=gemma; pct=50,0.8244674801826477
frozen,sentence,sbert_roberta,local_rf,—,0.8253780769011966
