embedding,model,fold,base,output_csv,expected_rows,has_index,has_synth_npy,has_hp_json,has_teacher_pkl,status
e5_base,chain_ERCcv_lr,0,n1536_gemma,g2f_labels_fold00_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,0,n192_gemma,g2f_labels_fold00_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,0,n3072_gemma,g2f_labels_fold00_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,0,n384_gemma,g2f_labels_fold00_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,0,n768_gemma,g2f_labels_fold00_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,0,n96_gemma,g2f_labels_fold00_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,1,n1536_gemma,g2f_labels_fold01_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,1,n192_gemma,g2f_labels_fold01_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,1,n3072_gemma,g2f_labels_fold01_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,1,n384_gemma,g2f_labels_fold01_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,1,n768_gemma,g2f_labels_fold01_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,1,n96_gemma,g2f_labels_fold01_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,2,n1536_gemma,g2f_labels_fold02_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,2,n192_gemma,g2f_labels_fold02_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,2,n3072_gemma,g2f_labels_fold02_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,2,n384_gemma,g2f_labels_fold02_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,2,n768_gemma,g2f_labels_fold02_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,2,n96_gemma,g2f_labels_fold02_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,3,n1536_gemma,g2f_labels_fold03_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,3,n192_gemma,g2f_labels_fold03_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,3,n3072_gemma,g2f_labels_fold03_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,3,n384_gemma,g2f_labels_fold03_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,3,n768_gemma,g2f_labels_fold03_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,3,n96_gemma,g2f_labels_fold03_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,4,n1536_gemma,g2f_labels_fold04_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,4,n192_gemma,g2f_labels_fold04_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,4,n3072_gemma,g2f_labels_fold04_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,4,n384_gemma,g2f_labels_fold04_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,4,n768_gemma,g2f_labels_fold04_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,4,n96_gemma,g2f_labels_fold04_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,5,n1536_gemma,g2f_labels_fold05_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,5,n192_gemma,g2f_labels_fold05_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,5,n3072_gemma,g2f_labels_fold05_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,5,n384_gemma,g2f_labels_fold05_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
